	dbpedia	PRoV	desc	1.0562306876712735
top5	dsfaces	PRoV	esa	0.675136765526259	0.6773366990378995
top5	dsfaces	PRoV	deeplens	1.346634408100778	1.3510224170399738
	dsfaces	LFoP	desc	3.2349415709909612
top5	dsfaces	LFoP	gold	2.143181818181818	0.6625102095817131
top5	dsfaces	LFoP	relin	2.8079999999999994	0.8680218601722143
top5	dsfaces	LFoP	diversum	3.784	1.1697274639927562
top5	dsfaces	LFoP	faces	2.1959999999999997	0.6788376085962189
top5	dsfaces	LFoP	faces_e	2.1959999999999997	0.6788376085962189
top5	dsfaces	LFoP	cd	2.136	0.6602901329515136
top5	dsfaces	LFoP	linksum	2.611999999999999	0.8074334397328431
top5	dsfaces	LFoP	bafrec	2.5	0.7728114851960599
top5	dsfaces	LFoP	kafca	1.6400000000000003	0.5069643342886154
top5	dsfaces	LFoP	mpsum	2.484	0.7678654916908051
top5	dsfaces	LFoP	esa	2.352	0.7270610452724531
top5	dsfaces	LFoP	deeplens	2.644	0.817325426743353
	dsfaces	GFoP	desc	4.929069859877423
top5	dsfaces	GFoP	gold	4.970068155312177	1.008317653553357
top5	dsfaces	GFoP	relin	5.0982443621012	1.0343217903241453
top5	dsfaces	GFoP	diversum	4.740752004880853	0.9617944439113197
top5	dsfaces	GFoP	faces	4.6157698614821925	0.9364383124399415
top5	dsfaces	GFoP	faces_e	4.6157698614821925	0.9364383124399415
top5	dsfaces	GFoP	cd	5.121385945412937	1.0390167092377744
top5	dsfaces	GFoP	linksum	4.857458813832592	0.9854716918038139
top5	dsfaces	GFoP	bafrec	4.681615597198593	0.9497969658143608
top5	dsfaces	GFoP	kafca	4.9174864783475645	0.9976499863343089
top5	dsfaces	GFoP	mpsum	4.5240313331771596	0.9178265802241367
top5	dsfaces	GFoP	esa	5.344615061735476	1.0843049933701665
top5	dsfaces	GFoP	deeplens	5.199980540871619	1.0549618262056715
	dsfaces	GFoV	desc	2.021196244447081
top5	dsfaces	GFoV	gold	2.3204545454545458	1.148059992605681
top5	dsfaces	GFoV	relin	1.3160000000000003	0.6510995672070455
top5	dsfaces	GFoV	diversum	2.1279999999999997	1.0528418533560733
top5	dsfaces	GFoV	faces	2.992	1.4803114780269604
top5	dsfaces	GFoV	faces_e	2.992	1.4803114780269604
top5	dsfaces	GFoV	cd	1.4039999999999997	0.6946381400901912
top5	dsfaces	GFoV	linksum	3.3320000000000003	1.648528691439115
top5	dsfaces	GFoV	bafrec	3.336	1.650507717479258
top5	dsfaces	GFoV	kafca	1.7719999999999998	0.8767085357833467
top5	dsfaces	GFoV	mpsum	2.72	1.3457377072972367
top5	dsfaces	GFoV	esa	1.64	0.811400676458628
top5	dsfaces	GFoV	deeplens	2.3560000000000003	1.1656463376442243
	dsfaces	IoPV	desc	6.4383501860919985
top5	dsfaces	IoPV	gold	6.1502144662738685	0.9552469636646116
top5	dsfaces	IoPV	relin	7.215811537244106	1.1207547475177049
top5	dsfaces	IoPV	diversum	6.375387342181912	0.9902206555887411
top5	dsfaces	IoPV	faces	5.714421828959161	0.8875599592739373
top5	dsfaces	IoPV	faces_e	5.714421828959161	0.8875599592739373
top5	dsfaces	IoPV	cd	7.184388162904299	1.1158740912266434
top5	dsfaces	IoPV	linksum	5.137187220927442	0.7979042879687868
top5	dsfaces	IoPV	bafrec	5.231275600861018	0.8125180286343417
top5	dsfaces	IoPV	kafca	6.588406471709028	1.0233066362157774
top5	dsfaces	IoPV	mpsum	6.1190171559375255	0.9504014194747763
top5	dsfaces	IoPV	esa	6.682682182238479	1.0379494729370704
top5	dsfaces	IoPV	deeplens	5.97178993255846	0.927534191206096
	dbpedia	PRoV	desc	1.0562306876712735
top10	dbpedia	PRoV	gold	1.2155506389367268	1.1508382147243934
top10	dbpedia	PRoV	relin	0.4785699691925067	0.45309227877826075
top10	dbpedia	PRoV	diversum	1.2293182140282963	1.1638728436669814
top10	dbpedia	PRoV	faces	1.2663827600073458	1.1989641796901447
top10	dbpedia	PRoV	faces_e	1.3373502653514446	1.2661535789117906
top10	dbpedia	PRoV	cd	0.47135714436059484	0.44626344402075685
top10	dbpedia	PRoV	linksum	1.2489533852922383	1.1824626948170485
top10	dbpedia	PRoV	bafrec	1.3522199855594363	1.2802316779308371
top10	dbpedia	PRoV	kafca	1.126033265746452	1.0660864893341395
top10	dbpedia	PRoV	mpsum	1.1924853671046178	1.1290008717070625
top10	dbpedia	PRoV	esa	1.1531693782664671	1.0917779531750962
top10	dbpedia	PRoV	deeplens	1.3233201371132288	1.2528703743978706
	dbpedia	LFoP	desc	9.490990741155183
top10	dbpedia	LFoP	gold	4.947466666666667	0.5212803174713131
top10	dbpedia	LFoP	relin	3.1672	0.3337059413898984
top10	dbpedia	LFoP	diversum	3.3296222222222234	0.35081924669720654
top10	dbpedia	LFoP	faces	2.280558730158729	0.24028668790811125
top10	dbpedia	LFoP	faces_e	4.431000000000001	0.46686379966489017
top10	dbpedia	LFoP	cd	3.1071999999999997	0.32738415669572246
top10	dbpedia	LFoP	linksum	3.453860317460318	0.36390935484570247
top10	dbpedia	LFoP	bafrec	5.370400000000001	0.5658418753600375
top10	dbpedia	LFoP	kafca	3.6472	0.3842802189433056
top10	dbpedia	LFoP	mpsum	3.3056000000000005	0.34828819141779754
top10	dbpedia	LFoP	esa	2.4488	0.25801310598496563
top10	dbpedia	LFoP	deeplens	2.6312	0.2772313314552604
	dbpedia	GFoP	desc	6.812666097844973
top10	dbpedia	GFoP	gold	6.148379829766502	0.9024924664532432
top10	dbpedia	GFoP	relin	5.997263111357509	0.8803107366812829
top10	dbpedia	GFoP	diversum	5.864345025418491	0.8608003006742894
top10	dbpedia	GFoP	faces	5.724512985302061	0.8402749970548059
top10	dbpedia	GFoP	faces_e	6.102708155316703	0.8957885309023367
top10	dbpedia	GFoP	cd	6.0005430329745515	0.8807921813271726
top10	dbpedia	GFoP	linksum	6.054496516112127	0.8887117655784311
top10	dbpedia	GFoP	bafrec	6.433180683006934	0.9442970770344843
top10	dbpedia	GFoP	kafca	6.015079473712882	0.8829259187699822
top10	dbpedia	GFoP	mpsum	5.998830717656202	0.8805408384176925
top10	dbpedia	GFoP	esa	5.71652727356866	0.8391028110678944
top10	dbpedia	GFoP	deeplens	5.642149758324962	0.8281852768492094
	dbpedia	GFoV	desc	3.4174682806200307
top10	dbpedia	GFoV	gold	2.5620030432479424	0.7496786605969956
top10	dbpedia	GFoV	relin	1.280943786759014	0.3748224362529014
top10	dbpedia	GFoV	diversum	2.5142456979945718	0.7357041796854403
top10	dbpedia	GFoV	faces	2.530608339496482	0.7404921221499543
top10	dbpedia	GFoV	faces_e	2.6035908455781644	0.7618478451849143
top10	dbpedia	GFoV	cd	1.2804116183548915	0.37466671618166025
top10	dbpedia	GFoV	linksum	2.5587743033538763	0.7487338852168186
top10	dbpedia	GFoV	bafrec	2.8795934557340757	0.8426101485897717
top10	dbpedia	GFoV	kafca	2.2439518740285167	0.6566123486071966
top10	dbpedia	GFoV	mpsum	2.322104960121264	0.6794810571584778
top10	dbpedia	GFoV	esa	2.05797538173922	0.6021929723268249
top10	dbpedia	GFoV	deeplens	2.2905920544583966	0.6702599311449395
	dbpedia	IoPV	desc	3.9498311636756505
top10	dbpedia	IoPV	gold	4.938514242452717	1.2503102127172985
top10	dbpedia	IoPV	relin	6.416944631855593	1.6246123861871822
top10	dbpedia	IoPV	diversum	5.031561005286717	1.2738673621189482
top10	dbpedia	IoPV	faces	5.078526650532704	1.2857579071320882
top10	dbpedia	IoPV	faces_e	4.923826819743271	1.2465917189131788
top10	dbpedia	IoPV	cd	6.416944631855593	1.6246123861871822
top10	dbpedia	IoPV	linksum	4.939326464692192	1.2505158473902294
top10	dbpedia	IoPV	bafrec	4.554260073800234	1.1530265181163113
top10	dbpedia	IoPV	kafca	5.263868790504995	1.3326819735774533
top10	dbpedia	IoPV	mpsum	5.240002876716225	1.326639711819976
top10	dbpedia	IoPV	esa	5.602492736142597	1.4184132191941607
top10	dbpedia	IoPV	deeplens	5.32010154684229	1.3469187229490305
	lmdb	PRoV	desc	0.002845686063974634
top10	lmdb	PRoV	gold	0.007408644048246296	2.6034649928665976
top10	lmdb	PRoV	relin	2.5891593960038566e-05	0.009098541925554217
top10	lmdb	PRoV	diversum	0.004809279937951527	1.6900247707697937
top10	lmdb	PRoV	faces	0.007257467815559735	2.550340287861222
top10	lmdb	PRoV	faces_e	0.008502080168104038	2.9877084038669364
top10	lmdb	PRoV	cd	2.5826754080133602e-05	0.009075756601225643
top10	lmdb	PRoV	linksum	0.00807303637116098	2.8369385060997163
top10	lmdb	PRoV	bafrec	0.01000097557663918	3.5144339016337565
top10	lmdb	PRoV	kafca	0.005005207954756644	1.7588756602918303
top10	lmdb	PRoV	mpsum	0.005429047075153999	1.9078165873192374
top10	lmdb	PRoV	esa	0.007888217299127821	2.771991400945391
top10	lmdb	PRoV	deeplens	0.012019754292504148	4.223851128439617
	lmdb	LFoP	desc	11.16626344355235
top10	lmdb	LFoP	gold	8.671000000000001	0.7765355030206484
top10	lmdb	LFoP	relin	8.964	0.8027752564960318
top10	lmdb	LFoP	diversum	4.253269841269841	0.38090359078226604
top10	lmdb	LFoP	faces	8.355111111111109	0.7482459242832513
top10	lmdb	LFoP	faces_e	3.8594126984126986	0.345631528211992
top10	lmdb	LFoP	cd	8.626	0.7725055067530979
top10	lmdb	LFoP	linksum	12.645999999999999	1.1325185066542633
top10	lmdb	LFoP	bafrec	7.843999999999999	0.7024731271703338
top10	lmdb	LFoP	kafca	3.7540000000000004	0.3361912441863123
top10	lmdb	LFoP	mpsum	4.946000000000001	0.4429413675400908
top10	lmdb	LFoP	esa	7.616000000000001	0.6820544794147455
top10	lmdb	LFoP	deeplens	7.9159999999999995	0.7089211211984144
	lmdb	GFoP	desc	5.132179034506789
top10	lmdb	GFoP	gold	5.0463776674317975	0.9832816886359388
top10	lmdb	GFoP	relin	5.133936978975812	1.0003425337380483
top10	lmdb	GFoP	diversum	4.950583246052356	0.9646162405415998
top10	lmdb	GFoP	faces	4.946161191599284	0.9637546076127133
top10	lmdb	GFoP	faces_e	4.8901903930633805	0.9528487529728853
top10	lmdb	GFoP	cd	5.1147790485629425	0.9966096299784446
top10	lmdb	GFoP	linksum	5.040902516469817	0.9822148608956811
top10	lmdb	GFoP	bafrec	5.16222122002653	1.005853690083247
